Gene	log2FC
ZYG11A	0
ECHDC2	0
PODN	0
SLC1A7	0
CPT2	0
LRP8	0
GLIS1	0
NDC1	0
YIPF1	0
DIO1	0
HSPB11	0
LRRC42	0
TCEANC2	0
CYB5RL	0
MRPL37	0
SSBP3	0
ACOT11	0
MROH7	0
TTC4	0
PARS2	0
TTC22	0
DHCR24	0
PCSK9	0
USP24	0
C8A	0
C8B	0
DAB1	0
OMA1	0
TACSTD2	0
MYSM1	0
FGGY	0
HOOK1	0
CYP2J2	0
NFIA	0
TM2D1	0
L1TD1	0
USP1	0
DOCK7	0
ANGPTL3	0
ATG4C	0
FOXD3	0
ALG6	0
ITGB3BP	0
EFCAB7	0
PGM1	0
ROR1	0
CACHD1	0
RAVER2	0
AK4	0
DNAJC6	0
LEPROT	0
LEPR	0
SGIP1	0
TCTEX1D1	0
WDR78	0
MIER1	0
SLC35D1	0
IL23R	0
GADD45A	0
GNG12	0
DIRAS3	0
WLS	0
DEPDC1	0
LRRC7	0
LRRC40	0
ANKRD13C	0
HHLA3	0
CTH	0
PTGER3	0
ZRANB2	0
NEGR1	0
LRRIQ3	0
FPGT	0
FPGT-TNNI3K	0
TNNI3K	0
ERICH3	0
CRYZ	0
TYW3	0
ACADM	0
RABGGTB	0
ST6GALNAC3	0
ST6GALNAC5	0
PIGK	0
AK5	0
ZZZ3	0
USP33	0
NEXN	0
FUBP1	0
DNAJB4	0
GIPC2	0
PTGFR	0
IFI44L	0
IFI44	0
TTLL7	0
PRKACB	0
SAMD13	0
DNASE2B	0
RPF1	0
SPATA1	0
CTBS	0
SSX2IP	0
LPAR3	0
MCOLN2	0
WDR63	0
MCOLN3	0
SYDE2	0
C1orf52	0
BCL10	0
DDAH1	0
ZNHIT6	0
COL24A1	0
HS2ST1	0
LMO4	0
PKN2	0
GTF2B	0
RBMXL1	0
GBP3	0
GBP1	0
GBP7	0
GBP4	0
GBP5	0
GBP6	0
LRRC8B	0
LRRC8C	0
LRRC8D	0
ZNF326	0
ZNF644	0
CDC7	0
TGFBR3	0
BRDT	0
EPHX4	0
GLMN	0
RPAP2	0
GFI1	0
EVI5	0
MTF2	0
TMED5	0
CCDC18	0
DR1	0
FNBP1L	0
BCAR3	0
DNTTIP2	0
GCLM	0
ARHGAP29	0
ABCD3	0
F3	0
SLC44A3	0
CNN3	0
ALG14	0
RWDD3	0
PTBP2	0
DPYD	0
SNX7	0
PALMD	0
FRRS1	0
AGL	0
SLC35A3	0
SASS6	0
TRMT13	0
LRRC39	0
DBT	0
RTCA	0
CDC14A	0
GPR88	0
VCAM1	0
EXTL2	0
SLC30A7	0
DPH5	0
S1PR1	0
RNPC3	0
AMY2B	0
PRMT6	0
NTNG1	0
VAV3	0
SLC25A24	0
FAM102B	0
HENMT1	0
FNDC7	0
STXBP3	0
AKNAD1	0
GPSM2	0
CLCC1	0
WDR47	0
TAF13	0
TMEM167B	0
C1orf194	0
KIAA1324	0
CELSR2	0
PSRC1	0
SORT1	0
SYPL2	0
ATXN7L2	0
CYB561D1	0
AMIGO1	0
GNAI3	0
AMPD2	0
GSTM4	0
GSTM2	0
GSTM1	0
GSTM5	0
GSTM3	0
EPS8L3	0
CSF1	0
AHCYL1	0
STRIP1	0
KCNC4	0
RBM15	0
SLC16A4	0
KCNA2	0
KCNA3	0
LRIF1	0
DRAM2	0
CEPT1	0
DENND2D	0
CHI3L2	0
PIFO	0
OVGP1	0
WDR77	0
ADORA3	0
DDX20	0
KCND3	0
CTTNBP2NL	0
WNT2B	0
ST7L	0
MOV10	0
PPM1J	0
SLC16A1	0
LRIG2	0
MAGI3	0
PHTF1	0
RSBN1	0
PTPN22	0
BCL2L15	0
AP4B1	0
DCLRE1B	0
HIPK1	0
OLFML3	0
SYT6	0
TRIM33	0
DENND2C	0
AMPD1	0
NRAS	0
SIKE1	0
TSPAN2	0
NGF	0
VANGL1	0
CASQ2	0
SLC22A15	0
MAB21L3	0
CD58	0
IGSF3	0
PTGFRN	0
CD101	0
TTF2	0
TRIM45	0
MAN1A2	0
GDAP2	0
WDR3	0
SPAG17	0
TBX15	0
WARS2	0
ZNF697	0
PHGDH	0
HMGCS2	0
REG4	0
NOTCH2	0
NBPF8	0
FCGR1B	0
FAM72B	0
SRGAP2C	0
NBPF15	0
SRGAP2B	0
FAM72D	0
GPR89A	0
PDZK1	0
CD160	0
RNF115	0
POLR3C	0
NUDT17	0
PIAS3	0
ANKRD35	0
ITGA10	0
PEX11B	0
LIX1L	0
ANKRD34A	0
NBPF10	0
NBPF12	0
PRKAB2	0
FMO5	0
CHD1L	0
BCL9	0
ACP6	0
GJA5	0
GPR89B	0
NBPF11	0
PPIAL4G	0
NBPF14	0
PDE4DIP	0
NBPF9	0
FCGR1A	0
BOLA1	0
SV2A	0
SF3B4	0
MTMR11	0
OTUD7B	0
VPS45	0
PLEKHO1	0
ANP32E	0
C1orf54	0
CIART	0
PRPF3	0
RPRD2	0
TARS2	0
ECM1	0
ADAMTSL4	0
GOLPH3L	0
HORMAD1	0
CTSK	0
ARNT	0
SETDB1	0
CERS2	0
ANXA9	0
BNIPL	0
MLLT11	0
GABPB2	0
SEMA6C	0
TNFAIP8L2	0
SCNM1	0
LYSMD1	0
TMOD4	0
VPS72	0
PIP5K1A	0
